URL,ID,Source,Are you an expert in... (x),lowercase (x),phrase (y)
http://www.wikihow.com/Jump,3115,Editfish,Jumping,jumping,how to jump
http://www.wikihow.com/Choose-a-Hairstyle,4487,Editfish,Choosing hairstyles,choosing hairstyles,how to choose a hairstyle
http://www.wikihow.com/Take-a-Bath,6072,Editfish,Bathing,bathing,how to take a bath
http://www.wikihow.com/Do-a-Cool-Card-Trick,17621,Editfish,Card tricks,card tricks,how to do a cool card trick
http://www.wikihow.com/Whistle-With-Your-Tongue,23567,Editfish,Whistling,whistling,how to whistle with your tongue
http://www.wikihow.com/Look-After-Your-Hair,31136,Editfish,Hair care,hair care,how to look after your hair
http://www.wikihow.com/Get-Rid-of-Bad-Back-Pain,33055,Editfish,Back pain,back pain,how to get rid of bad back pain
http://www.wikihow.com/Be-Good-Looking,47336,Editfish,Looking good,looking good,how to be good looking
http://www.wikihow.com/Keep-the-Upstairs-of-Your-Air-Conditioned-Home-Cooler,58061,Editfish,Air-conditioning your home,air-conditioning your home,how to keep the upstairs of your air conditioned home cooler
http://www.wikihow.com/Be-an-Individual,73048,Editfish,Being an individual,being an individual,how to be an individual
http://www.wikihow.com/Be-Special,75841,Editfish,Being special,being special,how to be special
http://www.wikihow.com/Be-a-Good-Kisser,106527,Editfish,Kissing,kissing,how to be a good kisser
http://www.wikihow.com/Be-a-Good-Runner,110026,Editfish,Running,running,how to be a good runner
http://www.wikihow.com/Improve-Cell-Phone-Reception,131832,Editfish,Cell phone reception,cell phone reception,how to improve cell phone reception
http://www.wikihow.com/Pamper-Yourself,196441,Editfish,Pampering yourself,pampering yourself,how to pamper yourself
http://www.wikihow.com/Change-Transmission-Fluid,274399,Editfish,Transmission fluid,transmission fluid,how to change transmission fluid
http://www.wikihow.com/Have-Good-Handwriting,403292,Editfish,Handwriting,handwriting,how to have good handwriting
http://www.wikihow.com/Have-Fun-with-Your-Friends-%28Teen-Girls%29,448026,Editfish,Having fun with your teen girlfriends,having fun with your teen girlfriends,how to have fun with your friends
http://www.wikihow.com/Be-Nocturnal,488397,Editfish,Living at night instead of during the day,living at night instead of during the day,how to be nocturnal
http://www.wikihow.com/Regrow-Hair-Naturally,541135,Editfish,Hair growth,hair growth,how to regrow hair naturally
http://www.wikihow.com/Give-Yourself-a-Facial,555240,Editfish,Facials,facials,how to give yourself a facial
http://www.wikihow.com/Do-a-Simple-Coin-Magic-Trick,621674,Editfish,Coin tricks,coin tricks,how to do a simple coin magic trick
http://www.wikihow.com/Stand-Up-on-Your-Surfboard,676815,Editfish,Surfing,surfing,how to stand up on your surfboard
http://www.wikihow.com/Be-a-Better-Volleyball-Player,745971,Editfish,Volleyball,volleyball,how to be a better volleyball player
http://www.wikihow.com/Get-Rid-of-Body-Odor,784030,Editfish,Personal Hygiene,personal hygiene,how to get rid of body odor
http://www.wikihow.com/Treat-Dry-Facial-Skin,1323649,Editfish,Treating dry facial skin,treating dry facial skin,how to treat dry facial skin
http://www.wikihow.com/Do-Magic-Tricks,1332689,Editfish,Magic tricks,magic tricks,how to do magic tricks
http://www.wikihow.com/Write-an-Introductory-Letter,1361479,Editfish,Writing letters,writing letters,how to write an introductory letter
http://www.wikihow.com/Distress-Wood-Furniture,1366053,Editfish,Distressing wood furniture,distressing wood furniture,how to distress wood furniture
http://www.wikihow.com/Prevent-Gray-Hair,1571744,Editfish,Preventing gray hair,preventing gray hair,how to prevent gray hair
http://www.wikihow.com/Remove-an-Ink-Stain-from-Auto-Upholstery,1722065,Editfish,Removing stains from upholstery,removing stains from upholstery,how to remove an ink stain from auto upholstery
http://www.wikihow.com/Store-Shoes,1833533,Editfish,Storing shoes,storing shoes,how to store shoes
http://www.wikihow.com/Naturally-Whiten-Skin-at-Home,2114567,Editfish,Naturally whitening skin,naturally whitening skin,how to naturally whiten skin at home
http://www.wikihow.com/Give-a-Compliment,2378937,Editfish,Complimenting,complimenting,how to give a compliment
http://www.wikihow.com/Teach-Third-Grade-Multiplication,3056486,Editfish,Multiplication,multiplication,how to teach third grade multiplication
http://www.wikihow.com/Know-That-He-Is-Not-the-One,4695128,NAB,Relationships,relationships,how to know that he is not the one
http://www.wikihow.com/Run-a-Successful-Clan-in-Clash-of-Clans,4992822,NAB,Clash of Clans,clash of clans,how to run a successful clan in clash of clans
http://www.wikihow.com/Attract-a-Man%27s-Attention,4958830,NAB,Attracting a man's attention,attracting a man's attention,how to attract a man's attention
http://www.wikihow.com/Cook-Romantic-Meals,4750829,NAB,Cooking romantic meals,cooking romantic meals,how to cook romantic meals
http://www.wikihow.com/Stay-Away-from-Cigarettes,4913413,NAB,Smoking cessation,smoking cessation,how to stay away from cigarettes
http://www.wikihow.com/Dress-Nice-Everyday-%28for-Girls%29,4738004,NAB,Girls' fashion,girls' fashion,how to dress nice everyday
http://www.wikihow.com/Live-with-Depression,4992010,NAB,Depression,depression,how to live with depression
http://www.wikihow.com/Plan-a-Photogenic-Wedding,4923615,NAB,Wedding photography,wedding photography,how to plan a photogenic wedding
http://www.wikihow.com/Look-Hot-Without-Make-Up,4989612,NAB,Looking good without makeup,looking good without makeup,how to look hot without make up
http://www.wikihow.com/Have-a-Home-Pampering-Day,5025548,NAB,Pampering yourself at home,pampering yourself at home,how to have a home pampering day
http://www.wikihow.com/Let-Go-of-the-Man-You-Love,4892685,NAB,Breakups,breakups,how to let go of the man you love
http://www.wikihow.com/Gain-Her-Trust,4718542,NAB,Relationships,relationships,how to gain her trust
http://www.wikihow.com/Care-for-Birds,4770166,NAB,Caring for birds,caring for birds,how to care for birds
http://www.wikihow.com/Move-Abroad,4719654,NAB,Living abroad,living abroad,how to move abroad
http://www.wikihow.com/Become-a-Flight-Attendant,1116439,Request,Becoming a flight attendant,becoming a flight attendant,how to become a flight attendant
